question,option_a,option_b,option_c,option_d,correct_answer,difficulty
מי היה האדם הראשון שהלך על הירח,יורי גגרין,ניל ארמסטרונג,באז אולדרין,מייקל קולינס,ב,2
מהו הסמל הכימי של זהב,Ag,Au,Fe,Cu,ב,3
כמה ימים יש בשנה רגילה (לא מעוברת),360,365,366,370,ב,1
מהו שמו של המכשיר שבו משלבים אוזניות עם עוזר קולי מבית אפל,AirMax,AirPods,HomePod,iEar,ב,3
איזה דפדפן אינטרנט שייך לחברת גוגל,פיירפוקס,ספארי,כרום,אקספלורר,ג,2
מהו שם הפלטפורמה הפופולרית לקניית מוצרים באינטרנט שבבעלות ג'ף בזוס,איביי,אמזון,שופיפיי,עלי אקספרס,ב,2
מהו שמה של חברת האבטחה שפיתחה את האנטי-וירוס הידוע Norton,סופטבנק,סימנטק,מקאפי,קספרסקי,ב,5
איך נקראת מערכת ההפעלה שמבוססת על קוד פתוח ונפוצה בשרתים,Windows Server,macOS,Linux,Chrome OS,ג,6
"מהו הקיצור של יחידת מהירות עיבוד מחשב, שנמדדת ב-Hz",RAM,SSD,CPU,GHz,ד,3
באיזו מדינה הוקמה חברת סמסונג,יפן,סין,דרום קוריאה,טאיוואן,ג,3
מהי אפליקציית המסרים המיידיים שבבעלות פייסבוק (מטא),סיגנל,וייבר,WhatsApp,דיסקורד,ג,2
באיזו שנה הוקמה חברת אפל,1970,1976,1981,1984,ב,6
,SkyCam,AirView,Phantom,Eagle Eye,ג,5
"מהי טכנולוגיית המציאות המדומה שמאפשרת ""כניסה לעולם וירטואלי""",AR,VR,AI,3D,ב,4
מהו שירות הענן של חברת אמזון,Azure,AWS,Google Cloud,IBM Cloud,ב,5
איך נקראת שפת תכנות המשמשת לסטטיסטיקה ולמדע נתונים,SQL,R,Go,Ruby,ב,6
מהו שם האתר שבו משתפים קוד פתוח ומשתמשים ב-Pull Requests,CodePen,GitHub,Medium,Stack Overflow,ב,5
מהו מנוע החיפוש הפופולרי ביותר בעולם,יאהו,בינג,גוגל,דק-דאק-גו,ג,1
מי המציא את מערכת ההפעלה Windows,סטיב ג'ובס,ביל גייטס,מארק צוקרברג,לארי פייג',ב,3
מהי יחידת האחסון הגדולה ביותר מבין הבאות,קילובייט,ג'יגהבייט,טרהבייט,מגהבייט,ג,2
מהי שפת התכנות המשמשת בעיקר לפיתוח אתרי אינטרנט בצד הלקוח,Java,Python,JavaScript,C#,ג,4
איך נקרא המכשיר שמשמש לאחסון מידע נייד ומתחבר דרך USB,דיסק קשיח,דיסקט,דיסק און קי,כרטיס גרפי,ג,1
מהי החברה שפיתחה את מערכת ההפעלה אנדרואיד,אפל,גוגל,מיקרוסופט,אמזון,ב,3
מהו שמו של המחשב הראשון בעולם,Macintosh,ENIAC,IBM 5150,UNIVAC,ב,7
איזו רשת חברתית נרכשה על ידי אילון מאסק בשנת 2022,פייסבוק,אינסטגרם,טוויטר,לינקדאין,ג,3
מהי קיצור של AI בתחום הטכנולוגיה,Audio Interface,Artificial Intelligence,Advanced Input,Automatic Integration,ב,2
איזו אפליקציה פופולרית מבוססת על שיתוף סרטונים קצרים,פייסבוק,טיקטוק,לינקדאין,טוויטר,ב,2
מהו שם העוזרת הקולית של אפל,קורטנה,גוגל אסיסטנט,סירי,אלכסה,ג,2
